	      murder	  rape	robbery	 assault   burglary    larceny   auto theft
atlanta         16.5	  24.8	 106	  147	    1112	905	    494
boston	        4.2	  13.3	 122	  90	    982	        669	    954
chicago	        11.6	  24.7	 340	  242	    808	        609	    645
dallas	        18.1	  34.2	 184	  293	    1668	901	    602
denver	        6.9	  41.5	 173	  191	    1534	1368	    780
detroit	        13	  35.7	 477	  220	    1566	1183	    788
hartford        2.5	  8.8	 68	  103	    1017	724	    468
honolulu        3.6       12.7	 42	  28	    1457	1102	    637
houston	        16.8	  26.6	 289	  186	    1509	787	    697
kansascity      10.8	  43.2	 255	  226	    1494	955	    765
losangeles      9.7	  51.8	 286	  355	    1902	1386	    862
neworleans	10.3	  39.7	 266	  283	    1056	1036	    776
newyork	         7.4	  19.4	 522	  267	    1674	1392	    848
portland	5	  23	 157	  144	    1530	1281	    488
tucso	        5.1	  22.9	  85	  148	    1206	756	    483
washington	12.5	  27.6	 524	  217	    1496	1003	    793
