Currency	Open	Momentum	iMA10	iMA100       StdDev	RSI																																										
EURAUD	        1.56	98.8		1.57	1.57	     0.006	42.69																																										
EURCAD	      	1.44	101.84		1.44	1.45	     0.0054	54.8																																										
EURCHF	      	1.03	99.75		1.04	1.06	     0.00156	40.42																																										
EURGBP	      	0.844	99.29	        0.84	0.85	     0.00288	42.72																																										
EURJPY	      	129.53	101.33		128.66	129.67	     0.594	55.9																																										
USDCAD	      	1.28	101.31	        1.28	1.26	     0.2261	54.3																																										
USDCHF	      	0.91	99.23		0.92	0.92	     0.001976	43.79																																										
USDJPY	      	114.38	100.72          112.49	112.49	     0.3178	58.53																																										
GBPSGD	      	1.81	100.69		1.83	1.8	     0.00556	52.94																																										
USDRUB	      	73.066	98.95		72.96	73.55	     0.3143	46.27																																										
EURRUB	      	82.8	99.31		84.14	83.13	     0.2911	45.59																																										
